"Engine","Account","Cost","Clicks","Impr","Engagement Actions","Avg pos","Quality score (avg)"
"Google AdWords","Mirena - Google","1856149.66","622792","58362734","","1.4195183107885186","4.9569913174782937"
"Bing Ads","Phillips Colon Health - Bing","119239.54","38936","1461920","4088","1.9176863572433193","8.5096148255813953"
"Google AdWords","Lotrimin - Google ","418074.54","732438","7223338","13791","1.5511705790297340","6.5505515939597315"
"Google AdWords","Claritin Peds - Google","322133.81","95125","1637807","1758","1.2603910950661853","5.9025000000000000"
"Bing Ads","Coricidin - Bing","27583.66","19088","446583","1003","2.0803376365441907","9.1911033797216700"
"Bing Ads","Clarispray - Bing","132057.21","27587","2086655","1099","3.1844703517587940","7.6829143088116411"
"Yahoo Gemini","Claritin D - Yahoo","58965.75","16658","571928","719","1.7135753424657534",""
"Bing Ads","Citracal - Bing","37306.29","20158","993405","96","2.6313672922252011","8.4251213755900202"
"Bing Ads","OAD Franchise - Bing","132205.07","59824","2709472","0","1.7327376362112322","8.7646524701873935"
"Bing Ads","Coppertone Sport - Bing","53286.20","21145","811018","2479","2.8967617423655247","8.0202850412249706"
"Bing Ads","Afrin - Bing","132778.07","41756","1695191","1467","2.1754437869822485","8.3476159921026654"
"Google AdWords","Aleve Tens - Google","377962.86","215972","4866036","8761","2.1631166068341976","5.3694399785637728"
"Yahoo Gemini","Clarispray - Yahoo","88720.13","17565","625305","511","1.7492954739538856",""
"Bing Ads","Flintstones - Bing","40341.42","14448","897503","887","2.3990798531436439","8.8428962636342539"
"Google AdWords","Bayer Prevention - Google","411001.46","646954","6750601","1873","2.0635017399149375","6.3662591265100226"
"Bing Ads","Miralax - Bing","121831.82","64488","1451533","24382","2.3614886225464652","8.6262846058896138"
"Bing Ads","Midol - Bing","10893.81","9243","608755","168","2.0551093750000000","7.9741006816990037"
"Google AdWords","Aleve PM - Google","153936.21","69828","4419782","904","2.1961381392045455","3.4581733516774262"
"Google AdWords","Phillips Base - Google","68116.72","51184","1533703","3826","1.5711531900375299","6.7237504393673111"
"Google AdWords","Coppertone WaterBabies - Google","0.00","0","0","0","",""
"Bing Ads","Skyla - Bing","9252.94","4828","39563","102","1.0405136986301370","8.5039579684763573"
"Bing Ads","Kyleena - Bing","121004.68","28225","1311070","0","1.1951400180668473","8.2340256762952774"
"Google AdWords","Xofigo MWSU - Google","186931.34","88969","1254103","","2.3927986829727187","6.1326934235976789"
"Google AdWords","Coricidin - Google ","66140.09","70896","971625","2588","1.4143617021276596","6.5558148148148148"
"Yahoo Gemini","Alka Seltzer Plus - Yahoo","2372.97","1475","129441","272","1.5342366412213740",""
"Google AdWords","Flintstones - Google","118329.53","59090","2915412","2693","1.9544824498567335","6.1043926632977728"
"Bing Ads","Aleve PM - Bing","58815.77","22706","1848844","323","3.2206669183339625","7.5032080519811441"
"Google AdWords","Aleve - Google","642626.86","353556","7509220","10414","2.2415619557937040","4.7065512767991260"
"Bing Ads","Phillips Fiber Good - Bing","26496.21","10777","432939","1002","3.2518832283915283","7.9756890459363958"
"Google AdWords","OAD Franchise - Google","554015.57","315710","8361876","0","1.4537289671239969","6.6517104731095835"
"Google AdWords","Phillips Fiber Good - Google","62968.03","21025","1083655","3667","1.9591513121161362","5.4947578172900061"
"Yahoo Gemini","Lotrimin - Yahoo","4963.02","12566","241121","489","1.3791659056316591",""
"Google AdWords","Coppertone Sport - Google","307322.56","167048","3853522","9177","1.9389656490982092","5.0587089776782590"
"Yahoo Gemini","Coppertone Sport - Yahoo","1111.37","1711","75390","195","2.4007942131679953",""
